Zeitstempel,Participant,Collision,Feedback,1. How much were you able to control events?,2. How responsive was the environment to actions that you initiated (or performed)?,3. How natural did your interactions with the environment seem?,4. How much did the visual aspects of the environment involve you?,5. How natural was the mechanism which controlled movement through the environment? ,6. How compelling was your sense of objects moving through space?,7. How much did your experiences in the virtual environment seem consistent with your real-world experiences?,8. Were you able to anticipate what would happen next in response to the actions that you performed? ,9. How completely were you able to actively survey or search the environment using vision?,10. How compelling was your sense of moving around inside the virtual environment?,11. How closely were you able to examine objects?,12. How well could you examine objects from multiple viewpoints?,13. How involved were you in the virtual environment experience? ,14. How much delay did you experience between your actions and expected outcomes?,15. How quickly did you adjust to the virtual environment experience?,16. How proficient in moving and interacting with the virtual environment did you feel at the end of the experience?,17. How much did the visual display quality interfere or distract you from performing assigned tasks or required activities?,18. How much did the control devices interfere with the performance of assigned tasks or with other activities?,19. How well could you concentrate on the assigned tasks or required activities rather than on the mechanisms used to perform those tasks or activities?,20. How much did the auditory aspects of the environment involve you? ,21. How well could you identify sounds?,22. How well could you localize sounds? ,23. How well could you actively survey or search the virtual environment using touch? ,24. How well could you move or manipulate objects in the virtual environment?
,7,Col_on,FB_off,4,5,3,3,2,4,3,4,4,4,5,2,5,2,7,4,3,2,5,2,2,2,2,1
,8,Col_off,FB_off,4,5,3,5,5,4,4,5,7,6,6,6,6,1,7,7,5,6,7,4,4,4,4,4
,8,Col_off,FB_on,4,3,4,6,6,3,5,6,7,6,6,6,6,1,7,7,5,6,7,6,6,6,4,4
,8,Col_on,FB_off,6,6,6,6,6,5,6,6,6,7,6,6,6,1,7,7,5,6,7,4,4,4,4,4
,8,Col_on,FB_on,6,6,6,6,6,5,6,6,6,6,6,6,6,1,7,7,5,6,7,6,6,5,4,4
,9,Col_off,FB_off,6,5,5,6,4,5,5,5,6,5,6,5,5,5,6,5,5,5,7,4,4,4,4,4
,9,Col_on,FB_on,6,6,6,6,6,5,5,5,6,6,7,6,5,5,6,6,5,5,7,5,6,6,6,6
,9,Col_off,FB_on,6,5,5,5,5,5,5,5,5,6,7,6,6,6,5,5,5,5,6,5,6,6,6,6
,9,Col_on,FB_off,5,5,5,6,6,5,5,6,6,6,5,5,5,6,6,6,6,6,7,4,4,4,4,6
,10,Col_off,FB_off,6,6,5,7,3,4,4,5,7,4,5,6,7,2,7,4,3,5,6,1,1,1,1,1
,10,Col_on,FB_on,5,5,5,6,3,6,3,6,7,5,6,6,6,2,7,5,3,6,4,5,7,5,5,6
,10,Col_on,FB_off,6,6,5,7,5,5,5,7,7,5,4,6,6,1,7,6,2,4,6,1,1,1,1,1
,10,Col_off,FB_on,6,6,6,7,6,7,6,6,7,5,5,6,7,1,7,6,2,4,6,4,6,3,6,4
,11,Col_off,FB_off,6,6,6,5,1,5,3,5,6,2,5,5,5,1,6,5,5,3,6,1,1,1,1,1
,11,Col_on,FB_off,5,6,3,5,3,4,3,6,6,2,5,5,5,2,6,6,4,4,6,1,1,1,1,1
,11,Col_off,FB_on,6,6,2,5,2,4,2,6,6,3,5,6,5,2,6,7,4,4,5,5,6,3,4,1
,11,Col_on,FB_on,6,6,2,5,2,6,1,6,6,3,6,6,6,2,6,6,4,4,6,6,6,1,4,1
,12,Col_off,FB_off,6,6,6,6,5,7,6,6,6,6,7,7,6,1,7,6,1,2,7,4,4,4,4,4
,12,Col_on,FB_off,7,7,6,6,6,6,6,6,6,6,7,7,6,1,7,6,1,1,7,4,4,4,4,4
,12,Col_on,FB_on,6,7,6,7,6,7,4,6,7,6,7,7,6,1,7,7,1,1,7,4,4,4,4,4
,12,Col_off,FB_on,7,7,6,6,6,6,6,7,7,6,7,7,7,1,7,7,1,1,7,6,6,6,4,4
,13,Col_on,FB_on,7,5,6,4,6,5,6,7,6,6,6,7,6,2,6,7,1,1,7,4,6,7,5,7
,13,Col_off,FB_on,6,5,6,5,7,6,6,7,6,6,5,7,6,1,7,7,1,1,7,4,4,6,5,5
,13,Col_off,FB_off,6,5,5,6,7,2,6,7,6,1,5,6,6,1,7,6,1,5,7,4,4,5,5,5
,13,Col_on,FB_off,5,6,5,6,7,2,6,6,6,2,5,7,6,1,7,7,1,1,7,4,4,5,5,5
,14,Col_on,FB_on,5,6,3,6,5,3,5,5,6,5,4,6,5,2,3,6,3,3,7,6,6,2,2,3
,14,Col_off,FB_on,5,5,6,5,5,3,5,5,6,6,3,6,6,2,6,5,3,3,5,6,6,6,3,4
,14,Col_on,FB_off,5,5,5,6,6,4,6,5,6,5,6,6,6,3,4,5,3,3,5,4,4,4,4,5
,14,Col_off,FB_off,6,5,5,5,6,2,5,5,5,5,5,6,5,3,6,6,3,3,6,4,4,4,4,4
,15,Col_on,FB_on,7,4,4,5,5,5,6,6,7,7,8,7,6,3,6,6,4,4,3,6,5,4,5,1
,15,Col_off,FB_off,6,5,5,5,4,5,3,5,5,5,7,7,5,3,3,6,4,4,3,6,6,6,5,2
,15,Col_off,FB_on,5,5,3,4,3,4,3,4,5,3,6,7,4,6,5,6,4,4,4,5,5,5,5,3
,15,Col_on,FB_off,5,4,3,4,3,5,4,5,5,5,6,6,5,3,4,5,4,4,5,4,3,3,5,3
,16,Col_on,FB_on,6,5,5,6,5,7,4,6,7,3,5,5,6,2,7,6,3,2,7,7,5,2,4,7
,16,Col_off,FB_off,6,5,3,5,2,2,1,7,7,7,7,5,5,1,7,3,2,3,7,2,1,1,1,1
,16,Col_on,FB_off,5,6,6,5,6,6,6,7,5,6,5,2,3,1,7,7,5,5,7,1,1,1,1,1
,16,Col_off,FB_on,5,6,3,6,2,7,2,7,6,7,5,5,6,1,7,6,3,4,6,5,6,5,7,6
,17,Col_on,FB_on,5,6,4,6,7,6,5,6,6,6,6,7,6,4,7,7,1,4,7,6,7,7,6,6
,17,Col_on,FB_off,6,5,6,6,6,6,5,7,7,6,6,6,6,2,7,7,1,2,7,1,1,1,1,6
,17,Col_off,FB_on,7,7,6,7,6,6,5,7,7,7,6,6,6,1,7,7,1,1,7,6,7,7,6,5
,17,Col_off,FB_off,7,2,3,4,6,5,4,7,7,7,7,7,7,1,7,7,1,1,7,1,1,1,1,4
,18,Col_on,FB_on,5,6,5,3,7,2,3,6,7,7,3,6,6,1,6,4,6,1,3,7,6,4,7,5
,18,Col_on,FB_off,6,2,5,6,5,4,3,2,2,5,5,6,6,1,6,7,7,1,4,6,7,5,4,1
,18,Col_off,FB_off,5,2,2,3,6,2,2,3,5,7,3,6,6,1,6,6,6,1,5,6,6,5,6,1
,18,Col_off,FB_on,5,2,1,6,6,2,3,2,6,6,3,6,6,1,6,6,6,1,5,6,5,5,7,1
,19,Col_on,FB_off,6,5,5,4,6,6,5,7,6,6,6,7,4,4,6,5,4,2,6,3,4,4,4,4
,19,Col_off,FB_on,6,5,5,4,5,6,4,6,5,4,6,6,4,4,6,6,4,5,6,6,7,6,5,5
,19,Col_off,FB_off,6,6,5,6,6,6,5,5,6,6,6,6,4,4,7,7,3,4,5,4,4,4,4,4
,19,Col_on,FB_on,5,5,5,5,5,5,6,6,6,4,6,6,4,4,7,7,4,3,5,5,6,2,5,5
,20,Col_on,FB_off,7,6,6,5,4,5,5,5,6,6,5,6,6,2,5,5,3,5,6,1,1,1,3,1
,20,Col_off,FB_on,6,6,5,6,5,5,4,5,6,5,5,6,5,2,6,6,5,3,6,5,6,6,3,2
,20,Col_on,FB_on,6,6,5,5,4,3,5,6,5,5,5,6,4,2,6,6,5,2,5,5,6,6,5,1
,20,Col_off,FB_off,6,3,3,5,3,3,4,6,6,4,5,6,4,2,5,6,2,2,6,1,1,1,1,1
,21,Col_on,FB_off,5,5,3,6,5,4,5,6,5,3,3,5,6,3,6,6,3,3,5,4,1,1,4,1
,21,Col_off,FB_off,4,3,5,6,6,5,3,5,5,6,3,4,5,4,3,5,3,2,5,4,1,1,4,1
,21,Col_off,FB_on,5,5,2,5,5,4,2,4,5,5,5,5,2,4,6,6,4,4,2,1,2,6,4,3
,21,Col_on,FB_on,5,5,4,5,5,5,5,3,5,5,4,5,5,3,6,4,5,3,4,4,5,6,5,3
,22,Col_on,FB_off,4,5,5,5,3,4,5,5,5,4,4,5,5,2,7,7,1,2,7,1,1,1,4,4
,22,Col_off,FB_off,6,6,4,4,4,4,2,6,6,6,6,7,5,1,7,7,1,4,6,4,1,1,1,2
,22,Col_on,FB_on,4,5,6,5,6,4,5,6,6,5,5,5,5,1,7,6,1,5,6,4,3,3,2,4
,22,Col_off,FB_on,6,5,4,5,4,4,3,6,6,5,6,6,5,1,7,7,1,3,5,3,3,4,4,1
,23,Col_on,FB_off,6,7,6,7,5,6,6,7,6,6,7,6,7,2,6,7,1,1,7,2,1,1,1,1
,23,Col_on,FB_on,6,7,5,6,5,6,5,7,7,4,6,7,6,1,5,6,2,2,6,7,7,7,7,1
,23,Col_off,FB_on,7,7,5,5,5,6,6,7,7,6,6,7,6,1,5,6,2,1,7,7,7,7,1,4
,23,Col_off,FB_off,7,7,6,6,6,5,6,7,7,5,7,7,6,1,5,6,1,1,7,1,1,1,1,1
,24,Col_on,FB_off,6,4,3,4,2,5,5,5,6,5,7,4,6,1,6,6,2,2,5,1,1,1,1,1
,24,Col_on,FB_on,3,4,3,3,4,5,5,6,6,6,6,5,6,1,6,7,3,1,6,2,1,1,6,4
,24,Col_off,FB_off,6,4,4,4,4,5,4,5,6,7,6,5,6,1,7,5,4,3,5,1,1,1,1,1
,24,Col_off,FB_on,5,5,4,4,4,5,5,5,6,6,6,5,6,1,7,5,5,3,6,4,4,4,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"5,833333333","5,6875","4,854166667","5,479166667","4,25",5,"4,5","5,5",6,"5,1875","5,854166667","5,229166667","5,520833333",2,"6,458333333","5,833333333","3,583333333","4,125","6,041666667","3,4375","3,916666667","3,270833333","3,5","3,479166667"
